----[BEISTRICH GETRENNTE CSV!]
----Code, Parent Key Columns, Child Key Columns 
ZBK_AGR,AGR_FIRMENNR; AGR_ABRECHGRPNR,FIRMENNR; ABRECHNUNGSGRPNR
AGB_AGS,AG_ID,AG_ID
AGI_AGS,AG_ID,AG_ID
AGN_AGS,AG_ID,AG_ID
AGS_AGS,AGS_VORLAGE_AG_ID,AG_ID
AGZ_AGS,AG_ID,AG_ID
APS_AGS,AG_START_ID,AG_ID
KGS_AGS,AGS_AG_ID,AG_ID
AGZ_AGS,AG_PARENT_ID,AG_ID
APS_AGS,AG_END_ID,AG_ID
ABR_AGU,ANLAGEGUTID,ANLAGEGUTID
ACT_AGU,ANLAGEGUTID,ANLAGEGUTID
ACZ_AGU,ANLAGEGUTID,ANLAGEGUTID
AET_AGU,ANLAGEGUTID,ANLAGEGUTID
AJO_AGU,ANLAGEGUTID,ANLAGEGUTID
AMU_AGU,ANLAGEGUTID,ANLAGEGUTID
ANZ_AGU,ANLAGEGUTID,ANLAGEGUTID
ARZ_AGU,ANLAGEGUTID,ANLAGEGUTID
ACS_AID,AID_ID,ARTIKELIDLFDNR
AST_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
AVE_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
AVL_AID,AID_ARTIKELIDLFDNR,ARTIKELIDLFDNR
BOP_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
BPD_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
BVO_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
DIS_AID,AID_ARTIKELIDLFDNR,ARTIKELIDLFDNR
EKK_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
ELV_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
EPS_AID,AID_ARTIKELIDLFDNR,ARTIKELIDLFDNR
EPV_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
ERO_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
IAP_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
IVP_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
KAP_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
LAJ_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
LKO_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
LPO_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
RNP_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
SLK_AID,AID_ARTIKELIDLFDNR,ARTIKELIDLFDNR
SLP_AID,AID_ARTIKELIDLFDNR,ARTIKELIDLFDNR
SNR_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
TRJ_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
TRP_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
VLJ_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
VST_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
VSW_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
WAP_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
WBW_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
WRP_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
WSK_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
WSS_AID,ARTIKELIDLFDNR,ARTIKELIDLFDNR
LAJ_AID,UMB_ARTIKELIDLFDNR,ARTIKELIDLFDNR
BIN_AIN,AIN_AINZUID,AINZUID
OBA_AIN,AINZUID,AINZUID
OBB_AIN,AIN_AINZUID,AINZUID
AIV_AIV,VORLAGE_ID,AIV_ID
AJO_AJO,UMBUCH_ANLAGEGUTID; UMBUCH_ANBUJOURNALID,ANLAGEGUTID; ANBUJOURNALID
ANB_AJO,AJO_ANBUJOURNALID; AJO_ANLAGEGUTID,ANBUJOURNALID; ANLAGEGUTID
