BVG_KZPAKETNR (PK);BVG_KZPAKETNR
BVG_LANDNR (PK);BVG_LANDNR
BVG_BRANCHENNR (PK);BVG_BRANCHENNR
BVG_GROESSENTYP (PK);BVG_GROESSENTYP
BVG_VERGLEICHSJAHR (PK);BVG_VERGLEICHSJAHR
BVG_QUARTAL (PK);BVG_QUARTAL
BVG_ISTEIGENE (PK);BVG_ISTEIGENE
BWR_FIRMENNR (PK);BWR_FIRMENNR
BWR_FIBUNR (PK);BWR_FIBUNR
BWR_KONTONR (PK);BWR_KONTONR
BWR_SUMMEN_VORJAHR (PK);BWR_SUMMEN_VORJAHR
BWR_BWRART (PK);BWR_BWRART
BWR_BWRLFDNR (PK);BWR_BWRLFDNR
CCA_CCAID (PK);CCA_CCAID
CCC_CCCID (PK);CCC_CCCID
CCE_CCEID (PK);CCE_CCEID
EBS_EBILNR (PK);EBS_EBILNR
EBS_ABJAHRWJBEGINN (PK);EBS_ABJAHRWJBEGINN
FBA_FIRMENNR (PK);FBA_FIRMENNR
FBA_FIBUNR (PK);FBA_FIBUNR
FBA_JABFBTYP (PK);FBA_JABFBTYP
FNS_FIRMENNR (PK);FNS_FIRMENNR
FNS_FIBUNR (PK);FNS_FIBUNR
FNS_FINANZINSLFDNR (PK);FNS_FINANZINSLFDNR
GAU_GES_FIRMENNR (PK);GAU_GES_FIRMENNR
GAU_GES_PERSONENID (PK);GAU_GES_PERSONENID
GAU_GES_PERSONUNTERNR (PK);GAU_GES_PERSONUNTERNR
GAU_KUN_FIRMENNR (PK);GAU_KUN_FIRMENNR
GAU_KUN_PERSONENID (PK);GAU_KUN_PERSONENID
GAU_GEWAUFT_JAHR (PK);GAU_GEWAUFT_JAHR
GAU_GEWAUFT_MODELL (PK);GAU_GEWAUFT_MODELL
GAU_EK_ART (PK);GAU_EK_ART
GAU_STEUER_ERKLNR (PK);GAU_STEUER_ERKLNR
GAU_UNTERSTERKLNR (PK);GAU_UNTERSTERKLNR
GE2_FIRMENNR (PK);GE2_FIRMENNR
GE2_PERSONENID (PK);GE2_PERSONENID
GE2_STEUERERKLJAHR (PK);GE2_STEUERERKLJAHR
GE2_MODELL (PK);GE2_MODELL
GE2_ERKLNR (PK);GE2_ERKLNR
GE2_ERKLUNTERNR (PK);GE2_ERKLUNTERNR
GE2_GB2LFDNR (PK);GE2_GB2LFDNR
GFZ_FIRMENNR (PK);GFZ_FIRMENNR
GFZ_FIBUNR (PK);GFZ_FIBUNR
GFZ_XMLJABGESNR (PK);GFZ_XMLJABGESNR
GKL_GR_KZPAKETNR (PK);GKL_GR_KZPAKETNR
GKL_LANDNR (PK);GKL_LANDNR
GKL_BRANCHENNR (PK);GKL_BRANCHENNR
GKL_GR_VERGLEICHSJAHR (PK);GKL_GR_VERGLEICHSJAHR
GKL_GR_QUARTAL (PK);GKL_GR_QUARTAL
GKL_GR_LFDNR (PK);GKL_GR_LFDNR
GLS_FIRMENNR (PK);GLS_FIRMENNR
GLS_FIBUNR (PK);GLS_FIBUNR
GLS_GLSCHEMANR (PK);GLS_GLSCHEMANR
GLS_ISTEIGENE (PK);GLS_ISTEIGENE
GLT_FIRMENNR (PK);GLT_FIRMENNR
GLT_FIBUNR (PK);GLT_FIBUNR
GLT_GLSCHEMANR (PK);GLT_GLSCHEMANR
GLT_GLTEXTNR (PK);GLT_GLTEXTNR
GLT_ISTEIGENE (PK);GLT_ISTEIGENE
GLV_GLT_FIRMENNR (PK);GLV_GLT_FIRMENNR
