---manuelle Felder:


---Felder von SQL Datenbank
Code,Comment,Description,Datentyp
FSO_SUMMENTEXTART,,,N2
FSP_AENDERUNGSDATUM,,,DATE
FSP_ERSTELLDATUM,,,DATE
FSP_ERSTELLUSER,,,A10
FSP_FIBUAUSDRMASTERNR,,,N4
FSP_FIBUSPALTENKOPFID,,,N15
FSP_HAUPTNUMMER,,,N9
FSP_ISTBMDSTANDARD,,,N1
FSP_LETZTERUSER,,,A10
FSP_MATCHCODE,,,A30
FSP_SPALTENKOPFBEZ,,,A50
FSP_SPALTENKOPFLFDNR,,,N4
FSP_UEBERSCHRIFT,,,A50
FSP_UNTERNUMMER,,,N9
FSP_ZEILENLAYOUT,,,N15
FST_AENDERUNGSDATUM,,,DATE
FST_AL_FIRMENNR,,,N10
FST_AL_MITARBEITERID,,,A16
FST_ART_ANFORDERUNG,,,A50
FST_AUSSTELLUNGSDATUM,,,DATE
FST_BARHAFTZEIT,,,N4
FST_BELEGDATUM,,,DATE
FST_BELEGSYMBOL,,,A4
FST_BESCHEIDSTATUS,,,N2
FST_BETREFF,,,A250
FST_BEZAHLT_AM,,,DATE
FST_BLOBLFDNR,,,N15
FST_BRIEFDATUM,,,DATE
FST_CLK_CKLID,,,SEQID
FST_DIAGRAMMINSTANZNR,,,N15
FST_DIAGRAMMNR,,,N15
FST_DKZID,,,SEQID
FST_ERLEDIGTDATUM,,,DATE
FST_ERLEDIGTUSER,,,A10
FST_ERSTELLDATUM,,,DATE
FST_ERSTELLTUSER,,,A10
FST_ERSTELLUSER,,,A10
FST_EXTBELEGNR,,,A60
FST_EXTERNART,,,N4
FST_EXTERNKEY,,,A255
FST_FES_FESNR,,,N4
FST_FES_FIRMENNR,,,N10
FST_FREIFELDA10_255,,,A255
FST_FREIFELDA2,,,A20
FST_FREIFELDA3,,,A20
FST_FREIFELDA5_255,,,A255
FST_FREIFELDA6_100,,,A100
FST_FREIFELDA7_100,,,A100
FST_FREIFELDA8_100,,,A100
FST_FREIFELDA9_255,,,A255
FST_FREIFELDB1,,,N1
FST_FREIFELDD,,,DATE
FST_FREIFELDD1,,,DATE
FST_FREIFELDD2,,,DATE
FST_FREIFELDD3,,,DATE
FST_FREIFELDD4,,,DATE
FST_FREIFELDN1_10,,,N10
FST_FREIFELDN2_10,,,N10
FST_FREIFELDN3_10,,,N10
FST_FREIFELDN4_10,,,N10
FST_FREIFELDNK1,,,numeric (24. 9)
FST_FREIFELDNK2,,,numeric (24. 9)
FST_FREIGABEANMERKUNG,,,A250
FST_FREIGABEDATUM,,,DATE
FST_FRIST_INFORMED,,,N1
FST_FRISTARTLFDNR,,,N9
FST_FRISTBEGINN,,,DATE
FST_FRISTDATUM,,,DATE
FST_FRISTLFDNR,,,N15
FST_FRISTTEXT,,,A255
FST_GARANTIENR,,,A50
FST_GARANTIETYP,,,N2
FST_GEHOERTZU_FIRMENNR,,,N10
FST_GF_FIRMENNR,,,N10
FST_GF_MITARBEITERID,,,A16
FST_HAFTBRIEF_AUSGESTELLT,,,N1
FST_HAFTUNGSBETRAG,,,numeric (24. 9)
FST_HAFTZEIT,,,N4
FST_HATDOKUMENTE,,,N1
FST_HATVERLAENGERUNG,,,N1
FST_HATWECKER,,,N1
FST_HB_HR_ANFORDERN,,,DATE
FST_HB_HR_ANGEFORDERT,,,DATE
FST_HERKUNFT,,,N2
FST_HR_AUSZAHLEN_AB,,,DATE
FST_HRHB_INFORMIERT,,,N1
FST_HRL_PROZ,,,numeric (6. 2)
FST_INR,,,N12
FST_INS_IART,,,A2
FST_INS_LANDNR,,,N4
FST_INTERVALL_FRISTLFDNR,,,N15
FST_ISTDELEGIERT,,,N1
FST_ISTERLEDIGT,,,N1
FST_ISTGARANTIE,,,N1
FST_ISTIMPORTIERT,,,N1
FST_ISTVERBUCHT_LEA,,,N1
FST_JAHR,,,N4
FST_KONTAKT_FIRMENNR,,,N10
FST_KONTAKT_PERSONENID,,,A16
FST_LANGTXTLFDNR,,,N15
FST_LDZID,,,SEQID
FST_LED_FIRMENNR,,,N10
FST_LED_LEADNR,,,N10
FST_LETZTERUSER,,,A10
FST_MATCHCODE,,,A30
FST_MIT_FIRMENNR,,,N10
FST_MIT_FIRMENNR2,,,N10
FST_MITARBEITERID,,,A16
FST_MITARBEITERID2,,,A16
FST_PER_FIRMENNR,,,N10
FST_PER_GES_FIRMENNR,,,N10
FST_PER_GES_PERSONENID,,,A16
FST_PERSONENID,,,A16
FST_POSTITNR,,,N15
FST_POSTKZ,,,N1
FST_POSTNR,,,N9
FST_PPSKAPAID,,,N15
FST_PRIORITAETNR,,,char (1)
FST_PRO_FIRMENNR,,,N10
FST_PROJEKTNR,,,N10
FST_PROJEKTTYP,,,N2
FST_PRUEFPROT_VORHANDEN,,,N1
FST_RECHNUNGSNUMMER,,,A20
FST_REMINDERLFDNR,,,N15
FST_SHOW_DOG,,,A10
FST_STELLVERTRETERKZ,,,N1
FST_VERANTW_FIRMENNR,,,N10
FST_VERANTW_PERSONENID,,,A16
FST_VERTEILTVON_FRISTLFDNR,,,N15
FST_VORWARN_INFORMED,,,N1
FST_VORWARNDATUM,,,DATE
FSU_ABSTANDNACHSUMMENBLOCK,,,N1
FSU_ABSTANDVORSUMMENBLOCK,,,N1
FSU_AENDERUNGSDATUM,,,DATE
FSU_ERSTELLDATUM,,,DATE
FSU_ERSTELLUSER,,,A10
FSU_FELDBEZEICHNUNG,,,A50
FSU_ISTBMDSTANDARD,,,N1
FSU_LETZTERUSER,,,A10
FSU_LINIENACHSUMMENBLOCK,,,N1
FSU_LINIEVORSUMMENBLOCK,,,N1
FSU_SORTKOPFNR,,,bigint (19. 0)
FSU_SORTPOSNR,,,N3
FSU_SUMMENPOSNR,,,N4
FSU_SUMMENTEXTART,,,N2
FSZ_AAS_AASID,,,bigint (19. 0)
FSZ_AENDERUNGSDATUM,,,DATE
FSZ_ERSTELLDATUM,,,DATE
FSZ_ERSTELLUSER,,,A10
FSZ_FAZ_FAZID,,,bigint (19. 0)
FSZ_FSZID,,,bigint (19. 0)
FSZ_LETZTERUSER,,,A10
FSZ_SAT_SETANTWDETAILLFDNR,,,N9
FSZ_SONSTIGE,,,A1024
FTB_ABFAHRT_DATUM,,,DATE
FTB_ABFAHRT_INS_IART,,,A2
FTB_ABFAHRT_INS_INR,,,N12
FTB_ABFAHRT_INS_LANDNR,,,N4
FTB_ABFAHRT_ORT_LANDNR,,,N4
FTB_ABFAHRT_ORT_PLZ,,,A10
FTB_ABFAHRT_ORT_PLZUNTERNR,,,N3
FTB_ABFAHRT_PER_FIRMENNR,,,N10
FTB_ABFAHRT_PER_PERSONENID,,,A16
FTB_ABFAHRT_ZEIT,,,DATE
FTB_AENDERUNGSDATUM,,,DATE
FTB_ANKUNFT_DATUM,,,DATE
FTB_ANKUNFT_ZEIT,,,DATE
FTB_BEIFAHRER_ANZAHL,,,N2
FTB_ERSTELLDATUM,,,DATE
FTB_ERSTELLUSER,,,A10
FTB_FAHRER_FIRMENNR,,,N10
FTB_FAHRER_PERSONENID,,,A16
FTB_FAHRTDAUER,,,N9
FTB_FAHRTENBUCHID,,,N15
FTB_FAHRTENTEXT,,,A2000
FTB_FIRMENNR,,,N10
FTB_FREIFELDA01_80,,,A80
FTB_FREIFELDA02_80,,,A80
FTB_FREIFELDA03_80,,,A80
FTB_FREIFELDA04_80,,,A80
FTB_FREIFELDA05_80,,,A80
FTB_FREIFELDA06_80,,,A80
FTB_FREIFELDA07_80,,,A80
FTB_FREIFELDA08_80,,,A80
FTB_FREIFELDA09_80,,,A80
FTB_FREIFELDA10_80,,,A80
FTB_FREIFELDNK01_9_3,,,numeric (9. 3)
FTB_FREIFELDNK02_9_3,,,numeric (9. 3)
FTB_FREIFELDNK03_9_3,,,numeric (9. 3)
FTB_FREIFELDNK04_9_3,,,numeric (9. 3)
FTB_FREIFELDNK05_9_3,,,numeric (9. 3)
FTB_FREIFELDNK06_9_3,,,numeric (9. 3)
FTB_FREIFELDNK07_9_3,,,numeric (9. 3)
FTB_FREIFELDNK08_9_3,,,numeric (9. 3)
FTB_FREIFELDNK09_9_3,,,numeric (9. 3)
FTB_FREIFELDNK10_9_3,,,numeric (9. 3)
FTB_KM_ABFAHRT,,,N6
FTB_KM_ANKUNFT,,,N6
FTB_KM_GEFAHREN,,,N4
FTB_KM_VERRECHENBAR,,,N4
FTB_LETZTERUSER,,,A10
FTB_LITER_ANZAHL,,,numeric (5. 1)
FTB_MEDIENID,,,N15
FTB_ZIEL_INS_IART,,,A2
FTB_ZIEL_INS_INR,,,N12
FTB_ZIEL_INS_LANDNR,,,N4
FTB_ZIEL_ORT_LANDNR,,,N4
FTB_ZIEL_ORT_PLZ,,,A10
FTB_ZIEL_ORT_PLZUNTERNR,,,N3
FTB_ZIEL_PER_FIRMENNR,,,N10
FTB_ZIEL_PER_PERSONENID,,,A16
FTG_AENDERUNGSDATUM,,,DATE
FTG_ANZAHL_STUNDEN,,,numeric (4. 2)
FTG_BLD_LANDNR,,,N4
FTG_BUNDESLANDLFDNR,,,N4
FTG_DATENBESTANDNR,,,N15
FTG_ERSTELLDATUM,,,DATE
FTG_ERSTELLUSER,,,A10
FTG_FEIERTAGART,,,N1
FTG_FEIERTAGBEZ,,,A50
FTG_FEIERTAGDATUM,,,DATE
FTG_FEIERTAGID,,,N15
FTG_FEIERTAGLFDNR,,,N4
FTG_FIRMENNR,,,N10
FTG_FK_TEXT,,,A255
FTG_HRSSEQID,,,SEQID
FTG_ISTKEINFEIERTAG,,,N1
FTG_LANDNR,,,N4
FTG_LETZTERUSER,,,A10
FTG_MATCHCODE,,,A30
FTG_RELIGIONSNR,,,N4
FTP_AENDERUNGSDATUM,,,DATE
FTP_ERSTELLDATUM,,,DATE
FTP_ERSTELLUSER,,,A10
FTP_FARBCODENR,,,N2
FTP_FARBCODETABNR,,,N2
FTP_FARBENNR,,,N10
FTP_FARBENTABNR,,,N9
FTP_FARBENTABPOSNR,,,N6
FTP_FAT_FIRMENNR,,,N10
FTP_FREIFELDA01_120,,,A120
FTP_FREIFELDA02_120,,,A120
FTP_FREIFELDA03_120,,,A120
FTP_FREIFELDA04_120,,,A120
FTP_FREIFELDA05_120,,,A120
FTP_FREIFELDD01,,,DATE
FTP_FREIFELDD02,,,DATE
FTP_FREIFELDN01_5,,,N5
FTP_FREIFELDN02_5,,,N5
FTP_FREIFELDN03_5,,,N5
FTP_FREIFELDN04_5,,,N5
FTP_FREIFELDN05_5,,,N5
FTP_FREIFELDNK01,,,numeric (24. 9)
FTP_FREIFELDNK02,,,numeric (24. 9)
FTP_FREIFELDNK03,,,numeric (24. 9)
FTP_FREIFELDNK04,,,numeric (24. 9)
FTP_FREIFELDNK05,,,numeric (24. 9)
FTP_GESPERRTKZ,,,N1
FTP_LETZTERUSER,,,A10
FTP_POSTITNR,,,N15
FTP_REIHUNG,,,numeric (18. 10)
FUH_AENDERUNGSDATUM,,,DATE
FUH_CRC,,,A50
FUH_ERSTELLDATUM,,,DATE
FUH_ERSTELLUSER,,,A10
FUH_FILENAME,,,A255
FUH_FILESIZE,,,N10
FUH_FUHID,,,SEQID
FUH_LETZTERUSER,,,A10
FUH_TYPE,,,N2
FUR_AENDERUNGSDATUM,,,DATE
FUR_BMDGRUPPENID,,,A10
FUR_ERSTELLDATUM,,,DATE
FUR_ERSTELLUSER,,,A10
FUR_FUNKTIONSNR,,,A60
FUR_LETZTERUSER,,,A10
FVW_ADDINFO,,,A255
FVW_AENDERUNGSDATUM,,,DATE
FVW_ENABLED,,,N1
FVW_ERSTELLDATUM,,,DATE
FVW_ERSTELLUSER,,,A10
FVW_FIRMENNR,,,N10
FVW_LETZTERUSER,,,A10
FVW_MCANAME,,,A40
FVW_SORTNR,,,N4
FVW_VORGABEBEZ,,,A255
FVW_VORGABEDBWERT,,,A255
FWE_AENDERUNGSDATUM,,,DATE
FWE_BETRAG,,,numeric (24. 9)
FWE_DATENBESTANDNR,,,N15
FWE_DIENSTVLFDNR,,,N4
FWE_ERSTELLDATUM,,,DATE
FWE_ERSTELLUSER,,,A10
FWE_FIRMENNR,,,N10
FWE_FIXWERTID,,,bigint (19. 0)
FWE_JAHR,,,N4
FWE_KVID,,,bigint (19. 0)
FWE_LETZTERUSER,,,A10
FWE_LOHNARTID,,,bigint (19. 0)
FWE_MITARBEITERID,,,A16
FWE_MONAT,,,N2
FWE_PSMISTORG,,,N1
FWE_SATZ,,,numeric (24. 9)
FWE_SICH_BETRAG,,,numeric (24. 9)
FWE_SICH_SATZ,,,numeric (24. 9)
FWF_AENDERUNGSDATUM,,,DATE
FWF_ANBU_VERBUCH_INTERVALL,,,N1
FWF_ANBU_VERBUCHUNG_AFA,,,N1
FWF_ANZAHLBUCHUNGEN,,,N9
FWF_AUS55IMPORTIERT,,,N1
FWF_AUSFREMDSYSTEM,,,N1
FWF_AZ_AUTOMATIK,,,N1
FWF_AZ_AUTOMATIK_ISTSTEUER,,,N1
FWF_AZ_SKO_NNFAELLIG_UST,,,N1
FWF_AZ_STEUERENLAST_SKONTO,,,N1
FWF_AZ_UMBU_NNFAELLIG_UST,,,N1
FWF_BA_VOERFBELEGE,,,N1
FWF_BAKAWA_PERSPERR_DATUM,,,DATE
FWF_BAKAWA_PERSPERR_USER,,,A10
FWF_BAKAWA_SPERREBISPERIOD,,,N2
FWF_BEI_BETRIEBSPRUEFUNG,,,N1
FWF_BERUFSGRP_PAUSCHAL,,,N4
FWF_BESTELLUNG_STIFTUNGSPR,,,A50
FWF_BETRIEB_ADRESSLFDNR,,,N15
FWF_BH_KURSDATEINR,,,N10
FWF_BH_SPERRE,,,N1
FWF_BH_SPERRE_DATUM,,,DATE
FWF_BH_SPERRE_USER,,,A10
FWF_BH_WAEHRUNGSCODE,,,A4
FWF_BH_ZWEIT_WAEHRUNGSCODE,,,A4
FWF_BILBU_SPERREBIS_DATUM,,,DATE
FWF_BILBU_SPERREBIS_USER,,,A10
FWF_BILBU_SPERREBISPERIODE,,,N2
FWF_BRANCHENNR,,,N9
FWF_BUBEZ_USTKENNZ_ISTSOLL,,,N1
FWF_BUCHEN_DOG,,,A10
FWF_CHECKLISTFORTSCHRITT,,,numeric (6. 2)
FWF_CKLID,,,SEQID
FWF_DATEI_ASU_DATUM,,,DATE
FWF_DATEI_KTO_DATUM,,,DATE
FWF_DATEI_SAL_DATUM,,,DATE
FWF_DATEI_USU_DATUM,,,DATE
FWF_DATUM_ABSTIMMUNG,,,DATE
FWF_DATUM_JAB,,,DATE
FWF_DATUM_PRUEFUNG,,,DATE
FWF_EDIT_DOG,,,A10
FWF_EINKUNFTSART,,,N1
FWF_ERKONTROLLE_DOG,,,A10
FWF_ERSTELLDATUM,,,DATE
FWF_ERSTELLUSER,,,A10
FWF_ERWFIXKONTENEINGABE,,,N1
FWF_FIBUBERECHT,,,A200
FWF_FIBUGUELTIGJAHR,,,N4
FWF_FIBUNAME,,,A50
FWF_FIBUNR,,,N6
FWF_FIBUUNTERNR,,,N2
FWF_FIBUVERZEICHNIS,,,A255
FWF_FIRMENNR,,,N10
FWF_FIRMENNR_EXTERN,,,A20
FWF_FOLGEJAHR_FIBUNR,,,N6
FWF_FOLGEJAHR_FIRMENNR,,,N10
FWF_FREIFELDA01_50,,,A50
FWF_GESPERRTAM,,,DATE
FWF_GESPERRTVON,,,A10
FWF_GEWINNERMART,,,N2
FWF_HATEARECHNERAUTOM,,,N1
FWF_HATFIBUFILIALE,,,N1
FWF_HATFWKONTO,,,N1
FWF_HATLEAZEILENVERR,,,N1
FWF_HATUEBERLANGESGJ,,,N1
FWF_IGNORE_SHOWDOGS_BUCDET,,,N1
FWF_IMPORTIERTE_BMD55,,,A255
FWF_IST_ANLSUM_MONATLICH,,,N1
FWF_ISTBMDSTANDARD,,,N1
FWF_ISTKONSOLIDIERTEFIBU,,,smallint (5. 0)
FWF_ISTKOREFIBU,,,N1
FWF_JAB_GESPERRT,,,N1
FWF_JAB_GESPERRT_DATUM,,,DATE
FWF_JAB_GESPERRT_USER,,,A10
FWF_KAMMERUMLPFLICHTIG,,,N1
FWF_KEINEZM,,,N1
FWF_KLASSE0_SKONTOART,,,N1
FWF_KLASSE1_SKONTOART,,,N1
FWF_KLASSE2_SKONTOART,,,N1
FWF_KLASSE3_SKONTOART,,,N1
FWF_KLASSE4_SKONTOART,,,N1
FWF_KLASSE5_SKONTOART,,,N1
FWF_KLASSE6_SKONTOART,,,N1
FWF_KLASSE7_SKONTOART,,,N1
FWF_KLASSE8_SKONTOART,,,N1
FWF_KLASSE9_SKONTOART,,,N1
FWF_KLEINUNT_PAUSCHPROZ,,,numeric (5. 3)
FWF_KLIENTENMONITORING,,,N1
FWF_KONSOL_ICCODE_LISTE,,,A2000
FWF_KONTOKLASSE0_IN_KU,,,N1
FWF_KORE_BUART,,,N5
FWF_KORE_FIBUNR,,,N6
FWF_KORE_FIRMENNR,,,N10
FWF_KORENR,,,N6
FWF_KUND_EB_UEBERNAHMECODE,,,N1
FWF_KUNDENNAVKONTO_DOG,,,A10
FWF_KURZNAME,,,A30
FWF_LANDNR,,,N4
FWF_LETZTERUSER,,,A10
FWF_LIEF_EB_UEBERNAHMECODE,,,N1
FWF_MANDANTENANALYSE,,,N1
FWF_MATCHCODE,,,A30
FWF_NICHTINCOM,,,N1
FWF_ORLANDO_EAR,,,N1
FWF_POSTITNR,,,N15
FWF_PRO_FIRMENNR,,,N10
FWF_PRO_PROJEKTNR,,,N10
FWF_PRO_PROJEKTTYP,,,N2
FWF_PROZENTSATZ_KOEFF,,,numeric (6. 2)
FWF_READONLY,,,N1
FWF_SACH_EB_UEBERNAHMECODE,,,N1
FWF_SHOW_DOG,,,A10
FWF_SICHERN,,,N1
FWF_SKONTOMETHODE,,,N1
FWF_SKONTOTOLERANZ,,,numeric (17. 2)
FWF_SONDERVORAUSZAHLUNG,,,N1
FWF_SPERRE_EBUEBERN_PERS,,,N1
FWF_SPERREBISPERIODE,,,N2
FWF_SPERREBISPERIODE_DATUM,,,DATE
FWF_SPERREBISPERIODE_KZ,,,N1
FWF_SPERREBISPERIODE_USER,,,A10
FWF_STDKTOR_PERS_FIBUNR,,,N6
FWF_STDKTOR_PERS_FIRMENNR,,,N10
FWF_STDKTORAHMEN_FIBUNR,,,N6
FWF_STDKTORAHMEN_FIRMENNR,,,N10
FWF_SYSTEMSPERRE,,,N1
FWF_UEBERLANGESGJ_BEGINN,,,DATE
FWF_UEBERLANGESGJ_ENDE,,,DATE
FWF_UEBERLEITUNGS_FIBUNR,,,N6
FWF_UEBERLEITUNGS_FIRMENNR,,,N10
FWF_UNECHT_STEUERBEFREIT,,,N1
FWF_USTERMITTLUNG,,,N1
FWF_USTKENNZ_ISTSOLL,,,N1
FWF_USTPERIODEN,,,N1
FWF_UVAVERSPEICHMONAT,,,N2
FWF_VJ_UMSATZ,,,numeric (17. 2)
FWF_VORJAHR_FIBUNR,,,N6
FWF_VORJAHR_FIRMENNR,,,N10
FWF_WAEHRUNGSNR,,,N4
FWF_WJBEGINN,,,DATE
FWF_WJENDE,,,DATE
FWF_ZMPERIODEN,,,N1
FWF_ZWEIT_WAEHRUNGSNR,,,N4
FWK_ABT_SHOW_DOG,,,A10
FWK_AENDERUNGSDATUM,,,DATE
FWK_CKLID,,,SEQID
FWK_DIM_SHOW_DOG,,,A10
FWK_E_A_BERECHTIGUNG,,,N1
FWK_EDIT_DOG,,,A10
FWK_ERSTELLDATUM,,,DATE
FWK_ERSTELLUSER,,,A10
FWK_FIRMENNR,,,N10
FWK_FOLGEJAHR_FIRMENNR,,,N10
FWK_FOLGEJAHR_KORENR,,,N6
FWK_FREIFELDA01_50,,,A50
FWK_FWF_FIBUNR,,,N6
FWK_GBR_SHOW_DOG,,,A10
FWK_GESPERRTAM,,,DATE
FWK_GESPERRTVON,,,A10
FWK_HATABTBERECHTIGUNG,,,N1
FWK_HATABTEILUNG,,,N1
FWK_HATALPHANUM_ABT,,,N1
FWK_HATALPHANUM_DIM,,,N1
FWK_HATALPHANUM_GBR,,,N1
FWK_HATALPHANUM_KST,,,N1
FWK_HATALPHANUM_KTR,,,N1
FWK_HATBMD5XDATEN,,,N1
FWK_HATDIMBERECHTIGUNG,,,N1
FWK_HATDIMENSION,,,N1
FWK_HATGBRBERECHTIGUNG,,,N1
FWK_HATGESCHAEFTSBEREICH,,,N1
FWK_HATGRENZKOSTEN,,,N1
FWK_HATHISTORISCHEDATEN,,,N1
FWK_HATKOSTENSTELLEN,,,N1
FWK_HATKOSTENTRAEGER,,,N1
FWK_HATKSTBERECHTIGUNG,,,N1
FWK_HATKTRBERECHTIGUNG,,,N1
FWK_HATMENGEN,,,N1
FWK_ISTKONSOLIDIERTEKORE,,,N1
FWK_KEINERFBERECHTIGUNG,,,N1
FWK_KOREGUELTIGJAHR,,,N4
FWK_KOREMATCHCODE,,,A30
FWK_KORENAME,,,A50
FWK_KORENR,,,N6
FWK_KOREUNTERNR,,,N2
FWK_KOREVERZEICHNIS,,,A255
FWK_KST_SHOW_DOG,,,A10
FWK_KTR_SHOW_DOG,,,A10
FWK_KURSDATEINR,,,N10
FWK_LETZTERUSER,,,A10
FWK_SHOW_DOG,,,A10
FWK_SPERREBISPERIODE,,,N2
FWK_STD_FIRMENNR,,,N10
FWK_STD_KORENR,,,N6
FWK_VKZUMST,,,N1
FWK_VORJAHR_FIRMENNR,,,N10
FWK_VORJAHR_KORENR,,,N6
FWK_WAEHRUNGSCODE,,,A4
FWK_WJBEGINN,,,DATE
FWK_WJENDE,,,DATE
FWK_ZWEIT_WAEHRUNGSCODE,,,A4
FZE_AENDERUNGSDATUM,,,DATE
FZE_BUDGETMODELLNR,,,N4
FZE_ERSTELLDATUM,,,DATE
FZE_ERSTELLUSER,,,A10
FZE_FIBUNR,,,N6
FZE_FIRMENNR,,,N10
FZE_LETZTERUSER,,,A10
FZE_MONAT01,,,N2
FZE_MONAT02,,,N2
FZE_MONAT03,,,N2
FZE_MONAT04,,,N2
FZE_MONAT05,,,N2
FZE_MONAT06,,,N2
FZE_MONAT07,,,N2
FZE_MONAT08,,,N2
FZE_MONAT09,,,N2
FZE_MONAT10,,,N2
FZE_MONAT11,,,N2
FZE_MONAT12,,,N2
FZE_PROZENT01,,,numeric (6. 2)
FZE_PROZENT02,,,numeric (6. 2)
FZE_PROZENT03,,,numeric (6. 2)
FZE_PROZENT04,,,numeric (6. 2)
FZE_PROZENT05,,,numeric (6. 2)
FZE_PROZENT06,,,numeric (6. 2)
FZE_PROZENT07,,,numeric (6. 2)
FZE_PROZENT08,,,numeric (6. 2)
FZE_PROZENT09,,,numeric (6. 2)
FZE_PROZENT10,,,numeric (6. 2)
FZE_PROZENT11,,,numeric (6. 2)
FZE_PROZENT12,,,numeric (6. 2)
FZE_ZAHLSCHLUESSELNR,,,N10
FZI_AENDERUNGSDATUM,,,DATE
FZI_ERSTELLDATUM,,,DATE
FZI_ERSTELLUSER,,,A10
FZI_FIRMENNR,,,N10
FZI_JAHR,,,N4
FZI_LETZTERUSER,,,A10
FZI_PKLFDNR,,,N4
FZI_PKLFDNR_INSOLVENZ,,,N4
FZK_AENDERUNGSDATUM,,,DATE
FZK_BERECHKZ,,,N1
FZK_ERSTELLDATUM,,,DATE
FZK_ERSTELLUSER,,,A10
FZK_FIBUNR,,,N6
FZK_FIRMENNR,,,N10
FZK_LETZTERUSER,,,A10
FZK_ZAHLSCHLUESSELBEZ,,,A50
FZK_ZAHLSCHLUESSELNR,,,N10
FZP_AENDERUNGSDATUM,,,DATE
FZP_BUART,,,N5
FZP_BUDGETMODELLNR,,,N4
FZP_ERSTELLDATUM,,,DATE
FZP_ERSTELLUSER,,,A10
FZP_FIBUNR,,,N6
FZP_FINANZPLANJAHR,,,N4
FZP_FIRMENNR,,,N10
FZP_KONTONR,,,N10
FZP_LETZTERUSER,,,A10
FZP_POSTITNR,,,N15
FZP_SALDO01,,,numeric (17. 2)
FZP_SALDO02,,,numeric (17. 2)
FZP_SALDO03,,,numeric (17. 2)
FZP_SALDO04,,,numeric (17. 2)
FZP_SALDO05,,,numeric (17. 2)
FZP_SALDO06,,,numeric (17. 2)
FZP_SALDO07,,,numeric (17. 2)
FZP_SALDO08,,,numeric (17. 2)
FZP_SALDO09,,,numeric (17. 2)
FZP_SALDO10,,,numeric (17. 2)
FZP_SALDO11,,,numeric (17. 2)
FZP_SALDO12,,,numeric (17. 2)
FZU_AENDERUNGSDATUM,,,DATE
FZU_BETEILIGUNGSPROZSATZ,,,numeric (6. 3)
FZU_BISMONAT,,,N2
FZU_BUVARIANTE,,,N4
FZU_DURCHSCHNITTSKURSDATUM,,,DATE
FZU_ERSTELLDATUM,,,DATE
FZU_ERSTELLUSER,,,A10
FZU_FIBUNR,,,N6
FZU_FILIALLISTE,,,A2000
FZU_FIRMENNR,,,N10
FZU_FIXDATUM,,,DATE
FZU_FIXIERTE_KONTEN_UMRECH,,,N1
FZU_ISTUEBERLEITUNGSFIBU,,,N1
FZU_KONSOL_ICCODE,,,A20
FZU_KONSOLNR,,,N4
FZU_KURZBEZ_AUSDRUCK,,,A50
FZU_LETZTERUSER,,,A10
FZU_MIT_KONS_PROZENT,,,N1
FZU_SPRACHNR,,,N4
FZU_UMRECHNUNGSART,,,N2
FZU_UMRECHNUNGSFAKTOR,,,numeric (16. 8)
FZU_UMSP_REFERENZKTO_ART,,,N2
FZU_VONMONAT,,,N2
FZU_WAEHRUNGSCODE,,,A4
FZU_ZIEL_BUART,,,N5
FZU_ZUGEORDNETE_FIBUNR,,,N6
FZU_ZUGEORDNETE_FIRMENNR,,,N10
GAD_ADRESSE,,,A255
GAD_AENDERUNGSDATUM,,,DATE
GAD_ERSTELLDATUM,,,DATE
GAD_ERSTELLUSER,,,A10
GAD_FINONLINEID,,,N15
GAD_FIRMENNR,,,N10
GAD_GHOSTADRESSID,,,N15
GAD_LETZTERUSER,,,A10
GAE_AENDERUNGSDATUM,,,DATE
GAE_AVAE_LANDNR,,,N4
GAE_BEZIEHUNG,,,N1
GAE_DVNR,,,N4
GAE_ERSTELLDATUM,,,DATE
GAE_ERSTELLKZ,,,N1
GAE_ERSTELLUSER,,,A10
GAE_FABO_LANDNR,,,N4
GAE_FABOPLUS,,,N1
GAE_FABOPLUS_HOEHE,,,N1
GAE_FIRMENNR,,,N10
GAE_GAZ_ANG_FIRMENNR,,,N10
GAE_GAZ_ANG_PERSONENID,,,A16
GAE_JAHR,,,N4
GAE_LETZTERUSER,,,A10
GAE_MITARBEITERID,,,A16
GAE_MONAT,,,N2
GAE_PSMISTORG,,,N1
GAS_AENDERUNGSDATUM,,,DATE
GAS_BMDCONSTID,,,N10
GAS_BMDCONSTID_FENSTER,,,N10
GAS_BMDSESSIONID,,,N15
GAS_BMDUSERID,,,A10
GAS_ERSTELLDATUM,,,DATE
GAS_ERSTELLUSER,,,A10
GAS_GASID,,,bigint (19. 0)
GAS_LETZTERUSER,,,A10
GAU_AENDERUNGSDATUM,,,DATE
GAU_AFA_ANP,,,N1
GAU_AFA_FORT,,,N1
GAU_AFAFIAK,,,N1
GAU_AKFIKTIV,,,N1
GAU_AKHIST,,,N1
GAU_ANT_WJ1,,,numeric (24. 9)
GAU_ANT_WJ2,,,numeric (24. 9)
GAU_ANTEIL_MWR,,,numeric (24. 9)
GAU_ANTEIL_UEBERGANGSGEW,,,numeric (24. 9)
GAU_ANTR4103,,,numeric (24. 9)
GAU_ANTRAG_PAR24,,,N1
GAU_AUF28VG,,,N1
GAU_AUFWENDUNGEN,,,numeric (24. 9)
GAU_AUS_BV,,,N1
GAU_BVM,,,N1
GAU_DATUM1,,,DATE
GAU_DATUM2,,,DATE
GAU_DATUM3,,,DATE
GAU_EINKANTEIL,,,numeric (24. 9)
