---manuelle Felder:


---Felder von SQL Datenbank
Code,Comment,Description,Datentyp
AAP_MENGE,,,numeric (24. 9)
AAP_PAC_FIRMENNR,,,N10
AAP_PACKSTOFFNR,,,N4
AAP_PRODUKTIONS_EPSTKLISTID,,,bigint (19. 0)
AAP_VERPACKTYP,,,N1
AAP_WAEHRUNGSCODE,,,A4
AAP_WARENEINGKOPFID,,,SEQID
AAP_WARENEINGPOSLFDNR,,,N9
AAP_WWSBUDGETWERTEID,,,N15
AAR_AARID,,,bigint (19. 0)
AAR_AENDERUNGSDATUM,,,DATE
AAR_ARL_ARTIKELNR,,,A50
AAR_ARL_ARTIKELNR_HAUPT,,,A50
AAR_ARL_FIRMENNR,,,N10
AAR_ARL_FIRMENNR_HAUPT,,,N10
AAR_ERSTELLDATUM,,,DATE
AAR_ERSTELLUSER,,,A10
AAR_FREIFELDA01,,,A120
AAR_FREIFELDA02,,,A120
AAR_FREIFELDA03,,,A120
AAR_FREIFELDA04,,,A120
AAR_FREIFELDA05,,,A120
AAR_FREIFELDN01,,,N10
AAR_FREIFELDN02,,,N10
AAR_FREIFELDN03,,,N10
AAR_FREIFELDN04,,,N10
AAR_FREIFELDN05,,,N10
AAR_LETZTERUSER,,,A10
AAR_REIHUNG,,,numeric (18. 10)
AAS_AASID,,,bigint (19. 0)
AAS_AENDERUNGSDATUM,,,DATE
AAS_ANTWORTSETBEZ,,,A1024
AAS_ANTWORTSETNR,,,N15
AAS_ERSTELLDATUM,,,DATE
AAS_ERSTELLUSER,,,A10
AAS_FIRMENNR,,,N10
AAS_LETZTERUSER,,,A10
AAS_MATCHCODE,,,A30
AAZ_AENDERUNGSDATUM,,,DATE
AAZ_ARL_ARTIKELNR,,,A50
AAZ_ARL_FIRMENNR,,,N10
AAZ_ARTIKELIDLFDNR,,,N15
AAZ_AUFARTLFDNR,,,N4
AAZ_ERSTELLDATUM,,,DATE
AAZ_ERSTELLUSER,,,A10
AAZ_FREIFELDA01,,,A120
AAZ_FREIFELDA02,,,A120
AAZ_FREIFELDA03,,,A120
